CHANGE_DATE,MARATON_ID,CHANNEL,CURRENT
09-NOV-17 04.47.15.326000000 AM,39,5,15.0899991989136
09-NOV-17 04.47.15.529000000 AM,39,3,53.2099990844727
09-NOV-17 04.47.15.529000000 AM,39,7,41.129997253418
09-NOV-17 04.47.18.337000000 AM,39,1,17.5900001525879
09-NOV-17 04.47.18.337000000 AM,39,5,17.5200004577637
09-NOV-17 04.47.18.525000000 AM,39,3,54.2999992370605
09-NOV-17 04.47.18.525000000 AM,39,7,46.5599975585938
09-NOV-17 04.51.18.532000000 AM,39,7,28.3699989318848
09-NOV-17 04.51.18.532000000 AM,39,3,52.939998626709
09-NOV-17 04.51.21.543000000 AM,39,7,46.5599975585938
09-NOV-17 04.51.21.543000000 AM,39,3,54.2999992370605
09-NOV-17 05.01.16.359000000 AM,39,1,15.0799999237061
09-NOV-17 05.01.16.359000000 AM,39,5,15.0899991989136
09-NOV-17 05.01.16.546000000 AM,39,3,53.2099990844727
09-NOV-17 05.01.19.354000000 AM,39,5,17.5200004577637
09-NOV-17 05.01.19.354000000 AM,39,1,17.5900001525879
09-NOV-17 05.01.19.557000000 AM,39,3,54.2999992370605
09-NOV-17 05.09.38.557000000 AM,39,7,29.1799983978271
09-NOV-17 05.09.38.557000000 AM,39,3,45.4799995422363
09-NOV-17 05.09.41.568000000 AM,39,7,46.5599975585938
09-NOV-17 05.09.41.568000000 AM,39,3,54.2999992370605
09-NOV-17 05.15.32.571000000 AM,39,7,41.129997253418
09-NOV-17 05.15.32.571000000 AM,39,3,53.0799980163574
09-NOV-17 05.15.35.566000000 AM,39,3,54.2999992370605
09-NOV-17 05.15.35.566000000 AM,39,7,46.5599975585938
09-NOV-17 05.18.18.571000000 AM,39,3,53.2099990844727
09-NOV-17 05.18.18.571000000 AM,39,7,41.129997253418
09-NOV-17 05.18.21.582000000 AM,39,3,54.2999992370605
09-NOV-17 05.18.21.582000000 AM,39,7,46.5599975585938
09-NOV-17 05.20.15.572000000 AM,39,3,52.939998626709
09-NOV-17 05.20.15.572000000 AM,39,7,28.3699989318848
09-NOV-17 05.20.18.567000000 AM,39,7,46.5599975585938
09-NOV-17 05.20.18.567000000 AM,39,3,54.2999992370605
09-NOV-17 05.37.56.192000000 AM,39,4,56.4699974060059
09-NOV-17 05.46.59.215000000 AM,39,0,57.2199974060059
09-NOV-17 05.49.02.628000000 AM,39,7,28.3699989318848
09-NOV-17 05.49.02.628000000 AM,39,3,52.939998626709
09-NOV-17 05.49.05.623000000 AM,39,3,45.3400001525879
09-NOV-17 05.49.08.618000000 AM,39,7,46.5599975585938
09-NOV-17 05.49.08.618000000 AM,39,3,54.2999992370605
09-NOV-17 05.50.56.431000000 AM,39,5,15.0899991989136
09-NOV-17 05.50.56.431000000 AM,39,1,15.0799999237061
09-NOV-17 05.50.56.618000000 AM,39,3,53.2099990844727
09-NOV-17 05.50.56.618000000 AM,39,7,41.129997253418
